,Folder Name,Start Time,End Time,Classification,Classes,Duration,Peak Acc x,Mean Acc x,Peak Acc y,Mean Acc y,Peak Acc z,Mean Acc z,Peak Gyro x,Mean Gyro x,Peak Gyro y,Mean Gyro y,Peak Gyro z,Mean Gyro z,Peak Mag,Mean Mag,Peak Gyro Mag,Mean Gyro Mag,Peak Speed,Mean Speed,Mag Speed,Peak Acceleration (m/s2),N Mag Peaks,N Gyro Mag Peaks,Age,Height
58,25/01/2021,00:51:00,00:51:01,1,13,1.8,2.17404,0.075157392,4.568412,0.383539691,2.519544,0.946014961,201.74,18.42856354,158.62,-23.8920442,304.92,41.33248619,4.826394192,1.38817416,337.3803864,143.3034485,3.51666948,3.51666948,0,2.277556498,2,3,19,191
59,25/01/2021,00:51:01,00:51:02,0,,1.2,2.16672,-0.167384,9.053376,0.441265073,3.958656,0.790000585,312.9,3.803902439,389.34,-19.07585366,512.33,-14.29707317,11.19263592,1.609355506,627.7223372,147.6152821,2.82222448,2.82222448,2.222224,2.356989337,2,3,19,191
60,25/01/2021,00:51:19,00:51:21,1,13,1.9,2.402424,0.05351652,3.918396,0.38263836,2.955816,0.89505666,206.85,12.7855,119.49,-23.2932,285.46,37.23545,4.953032929,1.324419724,379.4392406,120.9891072,3.79444748,3.79444748,0.31111136,1.969298729,1,2,19,191
61,25/01/2021,00:53:38,00:53:40,1,7,1.6,1.301496,0.205535143,4.295376,0.833922286,2.024712,0.669431429,164.57,14.82625,218.82,46.36291667,71.19,-41.835,4.740079777,1.318748624,257.6427668,102.6628794,3.01666908,3.01666908,2.97778016,1.326540987,2,1,19,191
62,25/01/2021,00:53:43,00:53:44,1,7,1.2,2.212836,-0.459190146,3.699528,0.163420488,5.022252,0.463933268,151.69,-10.93479675,110.74,-58.71918699,220.15,-36.32146341,9.493991717,1.47539783,457.6328472,117.8198415,3.54722506,3.54722506,3.44722498,2.535741218,2,1,19,191
63,25/01/2021,00:53:46,00:53:47,1,5,0.8,10.896552,0.90489182,2.007144,0.041411461,2.610312,0.362167281,108.78,-32.89842697,266.35,63.66932584,172.55,46.67033708,10.96636364,1.738020732,317.3616503,122.8705582,2.9722246,2.9722246,2.9722246,2.784315491,1,2,19,191
64,25/01/2021,00:54:02,00:54:05,0,,2,1.312476,0.05162796,4.334172,0.73764006,1.805844,0.58654062,107.94,6.594,202.23,-12.2955,182,13.64965,4.699428655,1.239022004,275.3965031,114.3794568,4.1944478,4.1944478,3.98333652,1.138883796,2,3,19,191
65,25/01/2021,00:54:06,00:54:07,0,,1.8,0.961848,0.065817614,4.411032,0.930263864,2.088396,0.636644523,162.47,3.293181818,167.93,-18.03494318,128.8,8.636647727,4.908492085,1.359302991,253.0220759,113.7796039,3.50555836,3.50555836,3.41111384,0.596565804,3,2,19,191
66,25/01/2021,00:54:20,00:54:21,0,,1.2,2.873832,0.393013161,6.886656,0.641916774,2.75232,0.719709484,437.92,0.32516129,196.35,-11.0775,306.81,18.97112903,7.459789877,1.470689185,486.2631762,155.7466133,1.8611126,1.8611126,1.2777788,1.002734963,1,2,19,191
67,25/01/2021,00:55:41,00:55:43,0,,1.8,1.14192,0.033081547,3.950604,0.834164552,2.33508,0.574349039,203.42,20.3220442,106.4,-50.6761326,141.05,47.47701657,4.053411847,1.205870102,270.7528153,120.3082123,2.22500178,2.22500178,1.66389022,0.776102143,1,3,19,191
68,25/01/2021,00:55:45,00:55:45,0,,0.4,1.254648,-0.0310856,4.888296,0.850909333,1.934676,0.620459467,101.57,-45.40822222,292.11,24.332,107.1,17.24644444,5.313961903,1.678210875,292.3301663,132.038161,0.89722294,0.89722294,0.46388926,1.016549443,1,1,19,191
69,25/01/2021,00:56:04,00:56:05,0,,0.7,2.465376,0.227010247,7.322928,0.823489973,2.439756,0.719395562,346.78,-37.75780822,263.69,-80.92479452,275.66,65.63890411,7.660025358,1.877597271,450.8731462,253.4842466,1.91944598,1.91944598,1.48333452,1.996114208,1,3,19,191
70,25/01/2021,00:43:40,00:43:42,0,,1,0.650748,-0.09546012,3.116856,0.66777432,1.95444,0.65873412,85.4,-2.9582,104.86,3.6029,52.01,2.6355,3.626167308,1.180517382,152.0395649,73.15111958,0.83055622,0.83055622,0.3472225,1.734656754,0,0,32,192
71,25/01/2021,00:45:37,00:45:39,1,13,1.9,2.09352,-0.125417277,5.46072,0.436126366,2.530524,0.86667267,172.97,10.95481675,213.29,25.74900524,138.88,-25.39863874,5.72341719,1.296571816,359.2888616,115.6824235,2.96666904,2.96666904,1.79722366,1.597481957,1,3,32,192
72,25/01/2021,00:45:59,00:46:01,1,13,1.8,2.198928,-0.00862,7.033788,0.505052,2.712792,0.869952,161.14,29.9095082,214.62,6.119836066,248.01,-11.05005464,7.457797561,1.347361393,307.0435399,123.6989125,3.08889136,3.08889136,1.14166758,1.640802384,2,4,32,192
73,25/01/2021,00:46:11,00:46:13,1,13,1.9,1.36884,-0.145691362,5.887476,0.380379128,2.504904,0.908929851,168.14,26.04260638,189.07,24.09154255,214.97,-26.32893617,6.53316713,1.293908976,280.0801735,126.5288062,3.09166914,3.09166914,0.53055598,2.260146499,1,3,32,192
74,25/01/2021,00:47:01,00:47:03,1,13,1.9,2.431704,0.036006486,4.485696,0.467791524,3.204696,0.924559524,171.22,29.38902703,240.73,36.10410811,157.57,-29.92102703,5.058881816,1.436201962,387.5907332,137.3766971,3.3888916,3.3888916,0.93611186,1.951086524,1,3,32,192
75,25/01/2021,00:47:03,00:47:04,0,,1.2,5.577108,-0.043524,1.6653,-0.309666,4.962228,0.972906,310.03,2.124098361,689.08,-17.37032787,260.75,-11.1047541,7.503899163,1.608502625,735.1190437,136.9827401,2.7083355,2.7083355,2.34166854,1.554665185,1,2,32,192
76,25/01/2021,00:47:20,00:47:22,1,13,1.8,1.960296,-0.07718317,4.493016,0.288314553,2.775744,0.916662574,278.95,37.87297872,214.83,20.41505319,152.81,-22.02989362,5.270117156,1.371164172,336.5576851,132.0778208,3.4583361,3.4583361,1.02222304,2.100106253,1,4,32,192
77,25/01/2021,00:47:37,00:47:39,1,13,1.8,1.61406,-0.016056,5.804028,0.43088,3.183468,0.893304,215.32,35.00879781,431.62,13.14967213,242.76,-15.07601093,6.597165665,1.386662928,499.7817448,145.6779702,3.65555848,3.65555848,3.65555848,1.883617904,1,4,32,192
78,25/01/2021,00:48:47,00:48:49,1,13,1.8,3.304248,-0.145268,5.331888,0.407532,2.989488,0.863724,216.72,25.61081967,154.28,-4.860218579,292.88,12.07021858,5.96655499,1.363728045,355.2360549,129.7452798,3.14444696,3.14444696,0.9027785,2.790473126,2,3,32,192
79,25/01/2021,00:48:49,00:48:50,0,,1,2.252364,-0.089693505,0.780312,-0.513058128,3.494568,1.061856661,214.76,-3.632293578,250.53,12.65201835,96.95,19.94550459,4.248101693,1.342620255,368.3555242,103.2877467,2.13611282,2.13611282,1.92500154,1.443858726,1,2,32,192
80,25/01/2021,00:49:02,00:49:04,1,13,1.9,2.289696,-0.043771251,4.392,0.494882888,3.28302,0.903166652,201.04,24.66882353,188.09,-27.4186631,291.48,22.70283422,5.365325315,1.432184978,360.749372,131.8093737,4.01111432,4.01111432,0.55000044,2.426149429,1,4,32,192
81,25/01/2021,00:49:20,00:49:21,1,7,1.9,2.302872,-0.057028735,4.671624,0.563165189,2.648376,0.857057254,226.31,20.60421622,139.79,-22.76551351,339.15,19.71616216,5.232277218,1.364023381,434.2547422,113.2927112,3.4444472,3.4444472,1.21388986,2.335126298,1,2,32,192
82,25/01/2021,00:49:39,00:49:41,1,7,1.8,1.851228,-0.094102667,3.00852,0.6196624,3.532632,0.807355333,223.37,26.26283333,306.46,-32.52161111,194.04,17.52411111,4.339203635,1.305542291,395.9905692,124.559806,3.2916693,3.2916693,1.20277874,3.044938873,2,4,32,192
